"sinner_id","sinner","rank","ego","filename","path"
"06","ホンル","HE","沸き立つ腐食","007.png","assets/egos/hong-lu/007.png"
"06","ホンル","TETH","ソーダ","008.png","assets/egos/hong-lu/008.png"
"06","ホンル","TETH","桃色の欲望","009.png","assets/egos/hong-lu/009.png"
"07","ヒースクリフ","ZAYIN","死体袋","001.png","assets/egos/heathcliff/001.png"
"07","ヒースクリフ","TETH","転入届","002.png","assets/egos/heathcliff/002.png"
"07","ヒースクリフ","HE","偏った慣性","003.png","assets/egos/heathcliff/003.png"
"07","ヒースクリフ","TETH","凶弾","004.png","assets/egos/heathcliff/004.png"
"07","ヒースクリフ","WAW","拘束","005.png","assets/egos/heathcliff/005.png"
"07","ヒースクリフ","HE","空即是色","006.png","assets/egos/heathcliff/006.png"
"07","ヒースクリフ","ZAYIN","ホリディ","007.png","assets/egos/heathcliff/007.png"
"07","ヒースクリフ","TETH","AEDD","008.png","assets/egos/heathcliff/008.png"
"07","ヒースクリフ","HE","電信柱","009.png","assets/egos/heathcliff/009.png"
"08","イシュメール","ZAYIN","銛穿ち","001.png","assets/egos/ishmael/001.png"
"08","イシュメール","WAW","盲目","002.png","assets/egos/ishmael/002.png"
"08","イシュメール","HE","海嘯の悲歌","003.png","assets/egos/ishmael/003.png"
"08","イシュメール","ZAYIN","蛆虫殺","004.png","assets/egos/ishmael/004.png"
"08","イシュメール","TETH","過ぎし日","005.png","assets/egos/ishmael/005.png"
"08","イシュメール","HE","羽ばたき","006.png","assets/egos/ishmael/006.png"
"08","イシュメール","HE","紅炎殺","007.png","assets/egos/ishmael/007.png"
"08","イシュメール","HE","クリスマスの悪夢","008.png","assets/egos/ishmael/008.png"
"08","イシュメール","TETH","カポーテ","009.png","assets/egos/ishmael/009.png"
"08","イシュメール","TETH","桃色の欲望","010.png","assets/egos/ishmael/010.png"
"09","ロージャ","ZAYIN","投げられたもの","001.png","assets/egos/rodion/001.png"
"09","ロージャ","HE","呪いの釘","002.png","assets/egos/rodion/002.png"
"09","ロージャ","WAW","血色の欲望","003.png","assets/egos/rodion/003.png"
"09","ロージャ","HE","執行","004.png","assets/egos/rodion/004.png"
"09","ロージャ","TETH","氷の脚","005.png","assets/egos/rodion/005.png"
"09","ロージャ","WAW","指定裁判","006.png","assets/egos/rodion/006.png"
"09","ロージャ","ZAYIN","夕焼けの中へ","007.png","assets/egos/rodion/007.png"
"09","ロージャ","TETH","沸き立つ腐食","008.png","assets/egos/rodion/008.png"
"09","ロージャ","HE","4本目のマッチの火","009.png","assets/egos/rodion/009.png"
"11","シンクレア","ZAYIN","知識の木の枝","001.png","assets/egos/sinclair/001.png"
"11","シンクレア","HE","ハーモニー","002.png","assets/egos/sinclair/002.png"
"11","シンクレア","WAW","汚血泣涙","003.png","assets/egos/sinclair/003.png"
"11","シンクレア","TETH","呪いの釘","004.png","assets/egos/sinclair/004.png"
"11","シンクレア","ZAYIN","低いなきごえ","005.png","assets/egos/sinclair/005.png"
"11","シンクレア","HE","提灯","006.png","assets/egos/sinclair/006.png"
"11","シンクレア","HE","9章2節","007.png","assets/egos/sinclair/007.png"
"11","シンクレア","TETH","一生シチュー","008.png","assets/egos/sinclair/008.png"
"11","シンクレア","TETH","迫り来る日","009.png","assets/egos/sinclair/009.png"
"12","ウーティス","ZAYIN","ト・パソス・マソス","001.png","assets/egos/outis/001.png"
"12","ウーティス","ZAYIN","私はチョキを出すね、そっちは？","002.png","assets/egos/outis/002.png"
"12","ウーティス","HE","魔弾","003.png","assets/egos/outis/003.png"
"12","ウーティス","HE","次元裂き","004.png","assets/egos/outis/004.png"
"12","ウーティス","WAW","拘束","005.png","assets/egos/outis/005.png"
"12","ウーティス","HE","黒い枝","006.png","assets/egos/outis/006.png"
"12","ウーティス","TETH","空即是色","007.png","assets/egos/outis/007.png"
"12","ウーティス","HE","ホリディ","008.png","assets/egos/outis/008.png"
"12","ウーティス","TETH","狐雨","009.png","assets/egos/outis/009.png"
"13","グレゴール","ZAYIN","ある日突然","001.png","assets/egos/gregor/001.png"
"13","グレゴール","WAW","輝かざる栄光","002.png","assets/egos/gregor/002.png"
"13","グレゴール","HE","厳粛な哀悼","003.png","assets/egos/gregor/003.png"
"13","グレゴール","TETH","過ぎし日","004.png","assets/egos/gregor/004.png"
"13","グレゴール","HE","AEDD","005.png","assets/egos/gregor/005.png"
"13","グレゴール","TETH","提灯","006.png","assets/egos/gregor/006.png"
"13","グレゴール","HE","クリスマスの悪夢","007.png","assets/egos/gregor/007.png"
"13","グレゴール","WAW","茨の花園","008.png","assets/egos/gregor/008.png"
"13","グレゴール","ZAYIN","まやかし","009.png","assets/egos/gregor/009.png"
